classe,arrondissement,item,nom_doc,url,adresse,code_postal,erreurs,nom_txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,19 rue Nationale : Arrêté de péril grave et imminent du 29/11/2018 - Arrêté de péril ordinaire du 09/10/2020 - Arrêté Modificatif de péril ordinaire du 21/10/2020,Arrêté Modificatif de péril ordinaire du 21/10/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/modif_po_19_rue-nationale-13001_2020_02456_vdm.pdf,19 rue Nationale,13001.0,False,modif_po_19_rue-nationale-13001_2020_02456_vdm.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,1 cours Jean Ballard,1 cours Jean Ballard,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/1-COURS-JEAN-BALLARD-13001_2018_03228.pdf,1 cours Jean Ballard,13001.0,False,1-COURS-JEAN-BALLARD-13001_2018_03228.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,1 rue Lafayette : Arrêté de péril du 11/12/2018 - Main Levée du 24/01/2019,Arrêté de péril du 11/12/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/1-rue-lafayette-13001_2018_03290.pdf,1 rue Lafayette,13001.0,False,1-rue-lafayette-13001_2018_03290.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,1 rue Lafayette : Arrêté de péril du 11/12/2018 - Main Levée du 24/01/2019,Main Levée du 24/01/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/1-RUE-LAFAYETTE-13001_ML_2019_00279.pdf,1 rue Lafayette,13001.0,False,1-RUE-LAFAYETTE-13001_ML_2019_00279.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,71 rue d'Aubagne : Arrêté du 12/12/2018 - Arrêté modificatif du 23/01/2019,Arrêté du 12/12/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/71-rue-d-aubagne-13001_2018_03263.pdf,71 rue d'Aubagne,13001.0,False,71-rue-d-aubagne-13001_2018_03263.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,71 rue d'Aubagne : Arrêté du 12/12/2018 - Arrêté modificatif du 23/01/2019,Arrêté modificatif du 23/01/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/71-rue-d-aubagne-13001_2019_00271.pdf,71 rue d'Aubagne,13001.0,False,71-rue-d-aubagne-13001_2019_00271.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,79 rue d'Aubagne,79 rue d'Aubagne,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/79-rue-d-aubagne-13001_2018_03310.pdf,79 rue d'Aubagne,13001.0,False,79-rue-d-aubagne-13001_2018_03310.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,81 rue d'Aubagne,81 rue d'Aubagne,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/81-rue-d-aubagne-13001_2018_03308.pdf,81 rue d'Aubagne,13001.0,False,81-rue-d-aubagne-13001_2018_03308.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,83 rue d'Aubagne,83 rue d'Aubagne,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/83-rue-d-aubagne-13001_2018_03309.pdf,83 rue d'Aubagne,13001.0,False,83-rue-d-aubagne-13001_2018_03309.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,12 rue Chateauredon : Arrêté de péril du 14/12/2018 - Main Levée partielle du 20/02/2019 - Interdiction d'occuper du 29/11/2019 - Arrêté modificatif du 17/01/2020,Arrêté de péril du 14/12/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/12-RUE-CHATEAUREDON-13001_2018-03349.pdf,12 rue Chateauredon,13001.0,False,12-RUE-CHATEAUREDON-13001_2018-03349.txt
