classe,arrondissement,item,nom_doc,url,adresse,code_postal,ville,doc_grp_idx,doc_grp_rel_idx,adrs,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_citycode,result_district,erreurs,nom_txt,nom_pdf,err_missing_pdf,err_bad_url,err_missing_txt,err_bad_pdf,err_date,err_adresse,err_pathologies
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",15ème arrondissement,179 avenue Roger Salengro : Main levée de péril grave et imminent du  23/03/2021,Main levée de péril grave et imminent du  23/03/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/179-avenue-salengro-13015_ml_2021_00832_23-03-2021.pdf,179 avenue Roger Salengro,13015.0,Marseille,529,0,179 avenue Roger Salengro,43.317378,5.368564,179 Avenue Roger Salengro 13015 Marseille,0.98,housenumber,13215_7989_00179,179,Avenue Roger Salengro,,13015,Marseille,13215,Marseille 15e Arrondissement,False,179-avenue-salengro-13015_ml_2021_00832_23-03-2021.txt,179-avenue-salengro-13015_ml_2021_00832_23-03-2021.pdf,False,False,False,False,False,False,True
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",15ème arrondissement,25 rue Edgar Quinet : Arrêté de mise en sécurité du 23/03/2021,Arrêté de mise en sécurité du 23/03/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/25-rue-edgar-quinet-13015_ms_2021_00840_23-03-2021.pdf,25 rue Edgar Quinet,13015.0,Marseille,530,0,25 rue Edgar Quinet,43.324439,5.369203,25 Rue Edgar Quinet 13015 Marseille,0.97,housenumber,13215_2986_00025,25,Rue Edgar Quinet,,13015,Marseille,13215,Marseille 15e Arrondissement,False,25-rue-edgar-quinet-13015_ms_2021_00840_23-03-2021.txt,25-rue-edgar-quinet-13015_ms_2021_00840_23-03-2021.pdf,False,False,False,False,False,False,True
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",16ème arrondissement,239 chemin de la Pelouque : Arrêté de péril du 09/10/2019 - Main Levée du 04/12/2019,Arrêté de péril du 09/10/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/239-chemin-de-la-pelouque-13016_2018_03269.pdf,239 chemin de la Pelouque,13016.0,Marseille,531,0,239 chemin de la Pelouque,43.367841,5.33489,239 Chemin de la Pelouque 13016 Marseille,0.97,housenumber,13216_6965_00239,239,Chemin de la Pelouque,,13016,Marseille,13216,Marseille 16e Arrondissement,False,239-chemin-de-la-pelouque-13016_2018_03269.txt,239-chemin-de-la-pelouque-13016_2018_03269.pdf,False,False,False,False,False,False,False
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",16ème arrondissement,239 chemin de la Pelouque : Arrêté de péril du 09/10/2019 - Main Levée du 04/12/2019,Main Levée du 04/12/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml_239-chemin-de-la-pelouque-13016_2019_03946_vdm.pdf,239 chemin de la Pelouque,13016.0,Marseille,531,1,239 chemin de la Pelouque,43.367841,5.33489,239 Chemin de la Pelouque 13016 Marseille,0.97,housenumber,13216_6965_00239,239,Chemin de la Pelouque,,13016,Marseille,13216,Marseille 16e Arrondissement,False,ml_239-chemin-de-la-pelouque-13016_2019_03946_vdm.txt,ml_239-chemin-de-la-pelouque-13016_2019_03946_vdm.pdf,False,False,False,False,False,False,False
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",16ème arrondissement,15/16 rue de Séon,15/16 rue de Séon,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/15-16-RUE-DE-SEON-13016_2019_00227.pdf,15/16 rue de Séon,13016.0,Marseille,532,0,15/16 rue de Séon,43.354864,5.341628,Rue de Seon 13016 Marseille,0.79,street,13216_8697,,Rue de Seon,,13016,Marseille,13216,Marseille 16e Arrondissement,False,15-16-RUE-DE-SEON-13016_2019_00227.txt,15-16-RUE-DE-SEON-13016_2019_00227.pdf,False,False,False,False,False,False,False
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",16ème arrondissement,6 place de l'église Saint André - Main Levée du 17/06/2019,6 place de l'église Saint André,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/6-PLACE-DE-L-EGLISE-SAINT-ANDRE-13016_2019_00650.pdf,6 place de l'église Saint André,13016.0,Marseille,533,0,6 place de l'église Saint André,43.356998,5.343269,6 Place de l’Eglise de Saint Andre 13016 Marseille,0.9,housenumber,13216_3062_00006,6,Place de l’Eglise de Saint Andre,,13016,Marseille,13216,Marseille 16e Arrondissement,False,6-PLACE-DE-L-EGLISE-SAINT-ANDRE-13016_2019_00650.txt,6-PLACE-DE-L-EGLISE-SAINT-ANDRE-13016_2019_00650.pdf,False,False,False,False,False,False,False
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",16ème arrondissement,6 place de l'église Saint André - Main Levée du 17/06/2019,Main Levée du 17/06/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml-6-place-eglise-13016-2019_02011.pdf,6 place de l'église Saint André,13016.0,Marseille,533,1,6 place de l'église Saint André,43.356998,5.343269,6 Place de l’Eglise de Saint Andre 13016 Marseille,0.9,housenumber,13216_3062_00006,6,Place de l’Eglise de Saint Andre,,13016,Marseille,13216,Marseille 16e Arrondissement,False,ml-6-place-eglise-13016-2019_02011.txt,ml-6-place-eglise-13016-2019_02011.pdf,False,False,False,False,False,False,False
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",16ème arrondissement,6 traverse Ténériffe,6 traverse Ténériffe,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/pgi_6-traverse-teneriffe-13016_2019_03387_vdm.pdf,6 traverse Ténériffe,13016.0,Marseille,534,0,6 traverse Ténériffe,43.354893,5.333343,Traverse de Teneriffe 13016 Marseille,0.85,street,13216_8964,,Traverse de Teneriffe,,13016,Marseille,13216,Marseille 16e Arrondissement,False,pgi_6-traverse-teneriffe-13016_2019_03387_vdm.txt,pgi_6-traverse-teneriffe-13016_2019_03387_vdm.pdf,False,False,False,False,False,False,False
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",16ème arrondissement,49 traverse du Régali : Main levée du 08/11/2019,Main levée du 08/11/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml_partielle-49_tse_regali_13016-_pni_2019_03877.pdf,49 traverse du Régali,13016.0,Marseille,535,0,49 traverse du Régali,43.35997,5.327415,Traverse du Regali 13016 Marseille,0.89,street,13216_7802,,Traverse du Regali,,13016,Marseille,13216,Marseille 16e Arrondissement,False,ml_partielle-49_tse_regali_13016-_pni_2019_03877.txt,ml_partielle-49_tse_regali_13016-_pni_2019_03877.pdf,False,False,False,False,False,False,False
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle",16ème arrondissement,29 boulevard Michel : Arrêté de péril du 13/10/2016 - Main levée du 14/09/2020,Main levée du 14/09/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml_29-boulevard-michel-13016_2020_02000_vdm.pdf,29 boulevard Michel,13016.0,Marseille,536,0,29 boulevard Michel,43.353841,5.346177,29 Boulevard Michel 13016 Marseille,0.96,housenumber,13216_6020_00029,29,Boulevard Michel,,13016,Marseille,13216,Marseille 16e Arrondissement,False,ml_29-boulevard-michel-13016_2020_02000_vdm.txt,ml_29-boulevard-michel-13016_2020_02000_vdm.pdf,False,False,False,False,False,False,False
