cause,classe,arrondissement,item,nom_doc,url,adresse,code_postal,erreurs,nom_txt
Problème pathologies,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,55 rue d'Aubagne- Arrêté du 15/01/21,Arrêté du 15/01/21,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/55-reu-d-aubagne_2021_00134.pdf,55 rue d'Aubagne,13001.0,True,55-reu-d-aubagne_2021_00134.txt
Problème pathologies,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,11 rue du Loisir,11 rue du Loisir,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/pgi_11-rue-du-loisir-13001_2020_00816_vdm.pdf,11 rue du Loisir,13001.0,True,pgi_11-rue-du-loisir-13001_2020_00816_vdm.txt
Problème pathologies,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,31 rue Chateauredon - Arrêté de main levée de péril du 30/09/2020,Arrêté de main levée de péril du 30/09/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/ml_31_rue_chateauredon_13001_2020_02220_vdm_du_30.09.20.pdf,31 rue Chateauredon,13001.0,True,ml_31_rue_chateauredon_13001_2020_02220_vdm_du_30.txt
Problème pathologies,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,9 rue Nationale,9 rue Nationale,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/9-rue-nationale_13001_po-2020_02006.pdf,9 rue Nationale,13001.0,True,9-rue-nationale_13001_po-2020_02006.txt
Problème pathologies,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,26 boulevard de la Libération,26 boulevard de la Libération,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/26-boulevard-liberation_13001_po_2020_02582.pdf,26 boulevard de la Libération,13001.0,True,26-boulevard-liberation_13001_po_2020_02582.txt
Problème pathologies,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,28 boulevard de la Libération,28 boulevard de la Libération,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/po_28-boulevard-de-la-liberation-13001_2020_02593_vdm.pdf,28 boulevard de la Libération,13001.0,True,po_28-boulevard-de-la-liberation-13001_2020_02593_vdm.txt
Problème pathologies,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,46 / 48 rue Tapis vert : 46 rue du tapis vert : Interdiction d'occuper du 30 octobre 2020 - Arrêté de péril imminent du 16/11/2020 - 46 rue du tapis vert : Arrêté de police du 02/11/2020  46 rue du Tapis Vert : arrêté de mise en sécurité du 10/02/21 – Arrêté modificatif de mise en sécurité du 16/03/2021 – Arrêté modificatif de mise en sécurité du 16/03/2021,46 rue du Tapis Vert : arrêté de mise en sécurité du 10/02/21,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/46-rue-du-tapis-vert-13001_mes_2021_00430_vdm_du_10-02-2021_1.pdf,46 / 48 rue Tapis vert : 46 rue du tapis vert,13001.0,True,46-rue-du-tapis-vert-13001_mes_2021_00430_vdm_du_10-02-2021_1.txt
Problème pathologies,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,24 rue de la Bibliothèque,24 rue de la Bibliothèque,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/24-rue-de-la-bibliotheque-13001_po_2020_02957_10-12-20.pdf,24 rue de la Bibliothèque,13001.0,True,24-rue-de-la-bibliotheque-13001_po_2020_02957_10-12-20.txt
Problème pathologies,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,40 rue de la Bibliothèque Arrêté d'abrogation du 16/12/20,Arrêté d'abrogation du 16/12/20,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/40-rue-de-la-bibliotheque-13001_abro_ppm-2020_02987_16-12-2020.pdf,40 rue de la Bibliothèque,13001.0,True,40-rue-de-la-bibliotheque-13001_abro_ppm-2020_02987_16-12-2020.txt
Problème pathologies,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,3 rue Francis de Pressensé,3 rue Francis de Pressensé,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/3-rue-francis-de-pressense_-13001_po_2020_02975_16-12-20.pdf,3 rue Francis de Pressensé,13001.0,True,3-rue-francis-de-pressense_-13001_po_2020_02975_16-12-20.txt
