classe,arrondissement,item,nom_doc,url,adresse,code_postal
CONSULTEZ LES DERNIERS ARRÊTÉS DE POLICE GÉNÉRALE,1er arrondissement,20 rue de l'Académie : Arrêté de police générale du maire – Local commercial rez-de-chaussée gauche et cave de l'immeuble en date du 24/09/2020 – Abrogation du 08/10/2020,Arrêté de police générale du maire – Local commercial rez-de-chaussée gauche et cave de l'immeuble en date du 24/09/2020,http://Arrêté de police 20 rue de l'Académie - 13001 - abrogation du 08/10/2020,20 rue de l'Académie,13001
?,1er arrondissement,20 rue de l'Académie : Arrêté de police générale du maire – Local commercial rez-de-chaussée gauche et cave de l'immeuble en date du 24/09/2020 – Abrogation du 08/10/2020,Abrogation du 08/10/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/abrogation-20-rue-academie-13001-2020_02308_arrete-police-generale.pdf,20 rue de l'Académie,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,4 rue d'Aix : Arrêté de péril imminent du 23/04/2018,Arrêté de péril imminent du 23/04/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/4-rue-d-aix-13001-PI-2018_03012-edited-2.pdf,4 rue d'Aix,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,18 rue d'Aix : Arrêté de péril grave et imminent du 05/01/2019 – Main levée de péril grave et imminent du 29/01/2019,Arrêté de péril grave et imminent du 05/01/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/18-rue-d-aix-13001-pi_2019_00041.pdf,18 rue d'Aix,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,18 rue d'Aix : Arrêté de péril grave et imminent du 05/01/2019 – Main levée de péril grave et imminent du 29/01/2019,Main levée de péril grave et imminent du 29/01/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/18-rue-d-aix-13001_ml_2019_01088.pdf,18 rue d'Aix,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,30 rue d'Aix :  Arrêté de péril grave et imminent du 30/01/2020,Arrêté de péril grave et imminent du 30/01/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/pgi_30-rue-d-aix-13001_2020_00273_vdm.pdf,30 rue d'Aix,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,44 rue d'Aix :  Arrêté de péril imminent du 11/02/2019 - Arrêté de mise en sécurité du 07/05/2021,Arrêté de péril imminent du 11/02/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/44-RUE-D-AIX-13001_2019_00492.pdf,44 rue d'Aix,13001
Arrêtés de mise en sécurité,1er arrondissement,44 rue d'Aix :  Arrêté de péril imminent du 11/02/2019 - Arrêté de mise en sécurité du 07/05/2021,Arrêté de mise en sécurité du 07/05/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/44-rue-d-aix-13001_2021_01251.pdf,44 rue d'Aix,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,2 rue d'Anvers : Arrêté de main levée de péril imminent du 22/04/2021,Arrêté de main levée de péril imminent du 22/04/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/2-rue-danvers-13001_ml_2021_01113_22-04-2021.pdf,2 rue d'Anvers,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,20 rue d'Anvers : Arrêté de péril grave et imminent du 01/02/2019 – Arrêté de mise en sécurité du 23/04/2021,Arrêté de péril grave et imminent du 01/02/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/20-RUE-D-ANVERS-13001_2019_00405.pdf,20 rue d'Anvers,13001
Arrêtés de mise en sécurité,1er arrondissement,20 rue d'Anvers : Arrêté de péril grave et imminent du 01/02/2019 – Arrêté de mise en sécurité du 23/04/2021,Arrêté de mise en sécurité du 23/04/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/20-rue-danvers-13001_m.s_2021_01126_23-avril-2021.pdf,20 rue d'Anvers,13001
Arrêtés de mise en sécurité urgente,1er arrondissement,7 boulevard d'Athènes : Arrêté de mise en sécurité urgente du 18/06/2021,Arrêté de mise en sécurité urgente du 18/06/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/7-bd-d-athenes-13001_msu_2021_01725_18-juin-2021_ano.pdf,7 boulevard d'Athènes,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,9 boulevard d'Athènes : Arrêté de péril grave et imminent du 18/02/2019,Arrêté de péril grave et imminent du 18/02/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/9-BOULEVARD-D-ATHENES-13001_2019_00554.pdf,9 boulevard d'Athènes,13001
CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIMÈTRES DE SÉCURITÉ SUR VOIE PUBLIQUE,1er arrondissement,Rue d'Aubagne et rue Jean Roque : Arrêté portant mise en place d'un périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 11/11/2018  –  Arrêté portant sur la modification du périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 05/12/2018 –  Arrêté modifiant le périmètre de sécurité de la rue d'Aubagne et de la rue Jean Roque en date du 25/04/19  – Arreté modifiant le périmètre de sécurité du 19/07/2019 – Arrêté de modification du périmètre de sécurité et d'interdiction d'occuper du 09/10/2019 – Arrêté modification du périmètre de sécurité et de l'interdiction d'occuper du 25/10/2019,Arrêté portant mise en place d'un périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 11/11/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/arrete_mise_en_place_perimetre_de_securite.pdf,Rue d'Aubagne et rue Jean Roque,13001
CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIMÈTRES DE SÉCURITÉ SUR VOIE PUBLIQUE,1er arrondissement,Rue d'Aubagne et rue Jean Roque : Arrêté portant mise en place d'un périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 11/11/2018  –  Arrêté portant sur la modification du périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 05/12/2018 –  Arrêté modifiant le périmètre de sécurité de la rue d'Aubagne et de la rue Jean Roque en date du 25/04/19  – Arreté modifiant le périmètre de sécurité du 19/07/2019 – Arrêté de modification du périmètre de sécurité et d'interdiction d'occuper du 09/10/2019 – Arrêté modification du périmètre de sécurité et de l'interdiction d'occuper du 25/10/2019,Arrêté portant sur la modification du périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 05/12/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/Arrete_modificatif_perimetre_AUBAGNE_5-12-2018.pdf,Rue d'Aubagne et rue Jean Roque,13001
CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIMÈTRES DE SÉCURITÉ SUR VOIE PUBLIQUE,1er arrondissement,Rue d'Aubagne et rue Jean Roque : Arrêté portant mise en place d'un périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 11/11/2018  –  Arrêté portant sur la modification du périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 05/12/2018 –  Arrêté modifiant le périmètre de sécurité de la rue d'Aubagne et de la rue Jean Roque en date du 25/04/19  – Arreté modifiant le périmètre de sécurité du 19/07/2019 – Arrêté de modification du périmètre de sécurité et d'interdiction d'occuper du 09/10/2019 – Arrêté modification du périmètre de sécurité et de l'interdiction d'occuper du 25/10/2019,Arrêté modifiant le périmètre de sécurité de la rue d'Aubagne et de la rue Jean Roque en date du 25/04/19,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/2019_01380_vdm_perimetre_aubagne.pdf,Rue d'Aubagne et rue Jean Roque,13001
CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIMÈTRES DE SÉCURITÉ SUR VOIE PUBLIQUE,1er arrondissement,Rue d'Aubagne et rue Jean Roque : Arrêté portant mise en place d'un périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 11/11/2018  –  Arrêté portant sur la modification du périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 05/12/2018 –  Arrêté modifiant le périmètre de sécurité de la rue d'Aubagne et de la rue Jean Roque en date du 25/04/19  – Arreté modifiant le périmètre de sécurité du 19/07/2019 – Arrêté de modification du périmètre de sécurité et d'interdiction d'occuper du 09/10/2019 – Arrêté modification du périmètre de sécurité et de l'interdiction d'occuper du 25/10/2019,Arreté modifiant le périmètre de sécurité du 19/07/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Sinistres/2019_02518_vdm_modif_perimetre_securite.pdf,Rue d'Aubagne et rue Jean Roque,13001
CONSULTEZ LES DERNIERS ARRÊTÉS D'INTERDICTION D'OCCUPER PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE),1er arrondissement,Rue d'Aubagne et rue Jean Roque : Arrêté portant mise en place d'un périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 11/11/2018  –  Arrêté portant sur la modification du périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 05/12/2018 –  Arrêté modifiant le périmètre de sécurité de la rue d'Aubagne et de la rue Jean Roque en date du 25/04/19  – Arreté modifiant le périmètre de sécurité du 19/07/2019 – Arrêté de modification du périmètre de sécurité et d'interdiction d'occuper du 09/10/2019 – Arrêté modification du périmètre de sécurité et de l'interdiction d'occuper du 25/10/2019,Arrêté de modification du périmètre de sécurité et d'interdiction d'occuper du 09/10/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/modif_pgi_rue-d-aubagne-rue-jean-roque-13001-2019_03555_vdm.pdf,Rue d'Aubagne et rue Jean Roque,13001
CONSULTEZ LES DERNIERS ARRÊTÉS D'INTERDICTION D'OCCUPER PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE),1er arrondissement,Rue d'Aubagne et rue Jean Roque : Arrêté portant mise en place d'un périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 11/11/2018  –  Arrêté portant sur la modification du périmètre de sécurité sur la rue d'Aubagne et la rue Jean Roque en date du 05/12/2018 –  Arrêté modifiant le périmètre de sécurité de la rue d'Aubagne et de la rue Jean Roque en date du 25/04/19  – Arreté modifiant le périmètre de sécurité du 19/07/2019 – Arrêté de modification du périmètre de sécurité et d'interdiction d'occuper du 09/10/2019 – Arrêté modification du périmètre de sécurité et de l'interdiction d'occuper du 25/10/2019,Arrêté modification du périmètre de sécurité et de l'interdiction d'occuper du 25/10/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/perimetre-securite-rue-aubagne-rue-jean-roque-13001_2019_03719.pdf,Rue d'Aubagne et rue Jean Roque,13001
CONSULTEZ LES DERNIERS ARRÊTÉS D'INTERDICTION D'OCCUPER PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE),1er arrondissement,"Rue d'Aubagne, rue Jean Roque et cours Lieutaud : Arrêté de mise en place d'un périmètre de sécurité et d'interdiction d'occuper du 27/03/2020 – Arrêté de mise en en place du périmère de sécurité et d'interdiction d'occuper du 23/10/2020 - Arrêté de mise en en place du périmère de sécurité et d'interdiction d'occuper du 05/07/2021 -",Arrêté de mise en place d'un périmètre de sécurité et d'interdiction d'occuper du 27/03/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/ppm-rue-d-aubagne-jean-roque-13001_2020_00821_vdm.pdf,"Rue d'Aubagne, rue Jean Roque et cours Lieutaud",13001
CONSULTEZ LES DERNIERS ARRÊTÉS D'INTERDICTION D'OCCUPER PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE),1er arrondissement,"Rue d'Aubagne, rue Jean Roque et cours Lieutaud : Arrêté de mise en place d'un périmètre de sécurité et d'interdiction d'occuper du 27/03/2020 – Arrêté de mise en en place du périmère de sécurité et d'interdiction d'occuper du 23/10/2020 - Arrêté de mise en en place du périmère de sécurité et d'interdiction d'occuper du 05/07/2021 -",Arrêté de mise en en place du périmère de sécurité et d'interdiction d'occuper du 23/10/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/ppm-rues-aubagne-jean-roque-cours-lieutaud_2020_02537.pdf,"Rue d'Aubagne, rue Jean Roque et cours Lieutaud",13001
CONSULTEZ LES DERNIERS ARRÊTÉS D'INTERDICTION D'OCCUPER PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE),1er arrondissement,"Rue d'Aubagne, rue Jean Roque et cours Lieutaud : Arrêté de mise en place d'un périmètre de sécurité et d'interdiction d'occuper du 27/03/2020 – Arrêté de mise en en place du périmère de sécurité et d'interdiction d'occuper du 23/10/2020 - Arrêté de mise en en place du périmère de sécurité et d'interdiction d'occuper du 05/07/2021 -",Arrêté de mise en en place du périmère de sécurité et d'interdiction d'occuper du 05/07/202,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/rue-d-aubagne-rue-roque-cours-lieutaud-13001-_ppm_2021_01930-i.pdf,"Rue d'Aubagne, rue Jean Roque et cours Lieutaud",13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,10 rue d'Aubagne - Arrêté de main levée de péril non imminent du 30/09/2020,Arrêté de main levée de péril non imminent du 30/09/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml-10_rue_daubagne-13001-2020_02233.pdf,10 rue d'Aubagne,13001
CONSULTEZ LES DERNIERS ARRÊTÉS D'INTERDICTION D'OCCUPER PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE),1er arrondissement,13 rue d'Aubagne : Arrêté d'interdiction d'occuper l'immeuble du 29/05/2019 – Arrêté modificatif de l'interdiction d'occuper du 07/06/2019 – Arrêté de péril grave et imminent du 08/07/2019 –,Arrêté d'interdiction d'occuper l'immeuble du 29/05/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/13-rue-aubagne-13001_2019_01818.pdf,13 rue d'Aubagne,13001
CONSULTEZ LES DERNIERS ARRÊTÉS D'INTERDICTION D'OCCUPER PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE),1er arrondissement,13 rue d'Aubagne : Arrêté d'interdiction d'occuper l'immeuble du 29/05/2019 – Arrêté modificatif de l'interdiction d'occuper du 07/06/2019 – Arrêté de péril grave et imminent du 08/07/2019 –,Arrêté modificatif de l'interdiction d'occuper du 07/06/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/13-rue-aubagne-13001_modificatif_2019_01933.pdf,13 rue d'Aubagne,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,13 rue d'Aubagne : Arrêté d'interdiction d'occuper l'immeuble du 29/05/2019 – Arrêté modificatif de l'interdiction d'occuper du 07/06/2019 – Arrêté de péril grave et imminent du 08/07/2019 –,Arrêté de péril grave et imminent du 08/07/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/13-rue-d-aubagne-13001_2019_02293.pdf,13 rue d'Aubagne,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,40 rue d'Aubagne : Arrêté de péril imminent du 17/01/2019,Arrêté de péril imminent du 17/01/2019,https://www.marseille.fr/sites/default/files/contenu/logement/40-rue-daubagne-13001_2019_00202.pdf,40 rue d'Aubagne,13001
?,1er arrondissement,41 rue d'Aubagne : Interdiction d'occuper un appartement du 5e étage en date du 31/10/2019 - Abrogation de l'arrêté d'interdiction d'occuper en date du 08/10/2020,Interdiction d'occuper un appartement du 5e étage en date du 31/10/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/ppm_-41-rue-d-aubagne-13001_2019_03803.pdf,41 rue d'Aubagne,13001
CONSULTEZ LES DERNIERS ARRÊTÉS D'INTERDICTION D'OCCUPER PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE),1er arrondissement,41 rue d'Aubagne : Interdiction d'occuper un appartement du 5e étage en date du 31/10/2019 - Abrogation de l'arrêté d'interdiction d'occuper en date du 08/10/2020,Abrogation de l'arrêté d'interdiction d'occuper en date du 08/10/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/abrogation-ppm_41-rue-d-aubagne-13001_2020_02306_vdm.pdf,41 rue d'Aubagne,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,42 rue d'Aubagne : Arrêté de péril imminent du 14/01/2019,Arrêté de péril imminent du 14/01/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/42-rue-d-aubagne-13001_2019_00113.pdf,42 rue d'Aubagne,13001
?,1er arrondissement,55 rue d'Aubagne : Arrêté d'interdiction d'un local commercia au rez-de-chaussée en date du 30/12/2019 – Arrêté de péril grave et imminent du 13/01/2020 –  Arrêté de péril grave et imminent du 18/03/2020 – Arrêté de mise en sécurité du 13/01/2021,Arrêté d'interdiction d'un local commercia au rez-de-chaussée en date du 30/12/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/modif_interdiction_occuper_57-rue-d-aubagne-13001_2019_04473_vdm.pdf,55 rue d'Aubagne,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,55 rue d'Aubagne : Arrêté d'interdiction d'un local commercia au rez-de-chaussée en date du 30/12/2019 – Arrêté de péril grave et imminent du 13/01/2020 –  Arrêté de péril grave et imminent du 18/03/2020 – Arrêté de mise en sécurité du 13/01/2021,Arrêté de péril grave et imminent du 13/01/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/pgi_57-rue-d-aubagne-13001_2020_00070_vdm.pdf,55 rue d'Aubagne,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,55 rue d'Aubagne : Arrêté d'interdiction d'un local commercia au rez-de-chaussée en date du 30/12/2019 – Arrêté de péril grave et imminent du 13/01/2020 –  Arrêté de péril grave et imminent du 18/03/2020 – Arrêté de mise en sécurité du 13/01/2021,Arrêté de péril grave et imminent du 18/03/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/55-rue-d-aubagne-13001_2020_00807_vdm.pdf,55 rue d'Aubagne,13001
Arrêtés de mise en sécurité,1er arrondissement,55 rue d'Aubagne : Arrêté d'interdiction d'un local commercia au rez-de-chaussée en date du 30/12/2019 – Arrêté de péril grave et imminent du 13/01/2020 –  Arrêté de péril grave et imminent du 18/03/2020 – Arrêté de mise en sécurité du 13/01/2021,Arrêté de mise en sécurité du 13/01/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/55-reu-d-aubagne_2021_00134.pdf,55 rue d'Aubagne,13001
Arrêtés de mise en sécurité,1er arrondissement,58 rue d'Aubagne : Arrêté de mise en sécurité du 17/05/2021,Arrêté de mise en sécurité du 17/05/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/58-rue-aubagne-13001_2021_01306.pdf,58 rue d'Aubagne,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,60 A rue d'Aubagne :  Arrêté de péril grave et imminent du 16/01/2019 - Main levée de péril grave et imminent du 10/05/2019,Arrêté de péril grave et imminent du 16/01/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/60a-rue-aubagne-13001_2019_00181.pdf,60 A rue d'Aubagne,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,60 A rue d'Aubagne :  Arrêté de péril grave et imminent du 16/01/2019 - Main levée de péril grave et imminent du 10/05/2019,Main levée de péril grave et imminent du 10/05/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml-60a-rue-d-aubagne-_2019-01455_vdm.pdf,60 A rue d'Aubagne,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,62 rue d'Aubagne : Arrêté de péril grave et imminent du 16/01/2019 - Main levée partielle de péril grave et imminent en date du 13/05/2019,Arrêté de péril grave et imminent du 16/01/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/62-RUE-D-AUBAGNE-13001_2019_00180.pdf,62 rue d'Aubagne,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,62 rue d'Aubagne : Arrêté de péril grave et imminent du 16/01/2019 - Main levée partielle de péril grave et imminent en date du 13/05/2019,Main levée partielle de péril grave et imminent en date du 13/05/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml_partielle_62-rue-d-aubagne-13001_2019_01531.pdf,62 rue d'Aubagne,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,64 rue d'Aubagne : Arrêté de péril grave et imminent du 21/01/2019 – Arrêté modificatif du 11/02/21,Arrêté de péril grave et imminent du 21/01/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/64-RUE-D-AUBAGNE-13001_2019_00223.pdf,64 rue d'Aubagne,13001
?,1er arrondissement,64 rue d'Aubagne : Arrêté de péril grave et imminent du 21/01/2019 – Arrêté modificatif du 11/02/21,Arrêté modificatif du 11/02/21,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/64-rue-aubagne_-13001_2021_00427.pdf,64 rue d'Aubagne,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,67 rue d'Aubagne : Arrêté de péril grave et imminent du 04/09/2019,Arrêté de péril grave et imminent du 04/09/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/pgi_67-rue-d-aubagne-13001_2019_03102_vdm.pdf,67 rue d'Aubagne,13001
CONSULTEZ LES DERNIERS ARRÊTÉS DE DÉCONSTRUCTION,1er arrondissement,69 - 71 rue d'Aubagne : Arrêté de déconstruction d'immeubles du 03/04/2020,Arrêté de déconstruction d'immeubles du 03/04/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-deconstruction/arrete_deconstruction_rue-d-aubagne-03042020.pdf,69 - 71 rue d'Aubagne,13001
?,1er arrondissement,70 rue d'Aubagne : Arrêté d'interdiction d'occupation de la cour arrière - 05/07/2021,Arrêté d'interdiction d'occupation de la cour arrière - 05/07/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Sinistres/70-reu-d-aubagne-13001_2021_01939.pdf,70 rue d'Aubagne,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,71 rue d'Aubagne : Arrêté de péril imminent du 12/12/2018 - Arrêté modificatif de péril imminentdu 23/01/2019,Arrêté de péril imminent du 12/12/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/71-rue-d-aubagne-13001_2018_03263.pdf,71 rue d'Aubagne,13001
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,71 rue d'Aubagne : Arrêté de péril imminent du 12/12/2018 - Arrêté modificatif de péril imminentdu 23/01/2019,Arrêté modificatif de péril imminentdu 23/01/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/71-rue-d-aubagne-13001_2019_00271.pdf,71 rue d'Aubagne,13001
