classe,arrondissement,item,nom_doc,url,adresse,code_postal
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,40 rue Jean Roque : Arrêté de péril du 05/01/2019,Arrêté de péril du 05/01/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/40-rue-jean-roque-13006_2019_00044.pdf,40 rue Jean Roque,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,29 rue Edmond rostand : Arrêté de péril du 23/11/2020 – Arrêté de mise en sécurité du 28/04/2021,Arrêté de péril du 23/11/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/ppm-29_rue-edmond-rostand-13006-2020_02776.pdf,29 rue Edmond rostand,13006
Arrêtés de mise en sécurité,6ème arrondissement,29 rue Edmond rostand : Arrêté de péril du 23/11/2020 – Arrêté de mise en sécurité du 28/04/2021,Arrêté de mise en sécurité du 28/04/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/29-rue-edmond-rostand-13006_ms_2021_01199_28-avril-2021.pdf,29 rue Edmond rostand,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,90 rue Edmond Rostand : Main Levée de péril PNI du 28/02/2020 - Arrêté de péril grave et imminent du 07/05/2020 - Arrêté de péril du 07/05/2020 - Arrêté de péril n°2 du 07/05/2020 - Arrêté de péril du 19/05/2020,Main Levée de péril PNI du 28/02/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml_90-rue-edmond-rostand-13006_2020_00604_vdm.pdf,90 rue Edmond Rostand,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,90 rue Edmond Rostand : Main Levée de péril PNI du 28/02/2020 - Arrêté de péril grave et imminent du 07/05/2020 - Arrêté de péril du 07/05/2020 - Arrêté de péril n°2 du 07/05/2020 - Arrêté de péril du 19/05/2020,Arrêté de péril grave et imminent du 07/05/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/pgi_2020_00806_vdm.pdf,90 rue Edmond Rostand,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,90 rue Edmond Rostand : Main Levée de péril PNI du 28/02/2020 - Arrêté de péril grave et imminent du 07/05/2020 - Arrêté de péril du 07/05/2020 - Arrêté de péril n°2 du 07/05/2020 - Arrêté de péril du 19/05/2020,Arrêté de péril du 07/05/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/ppm_90-rue-edmond-rostan-13006_2020_00812_vdm.pdf,90 rue Edmond Rostand,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,90 rue Edmond Rostand : Main Levée de péril PNI du 28/02/2020 - Arrêté de péril grave et imminent du 07/05/2020 - Arrêté de péril du 07/05/2020 - Arrêté de péril n°2 du 07/05/2020 - Arrêté de péril du 19/05/2020,Arrêté de péril n°2 du 07/05/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/ppm_90-rue-edmmond-rostand-13006_2020_00813_vdm.pdf,90 rue Edmond Rostand,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,90 rue Edmond Rostand : Main Levée de péril PNI du 28/02/2020 - Arrêté de péril grave et imminent du 07/05/2020 - Arrêté de péril du 07/05/2020 - Arrêté de péril n°2 du 07/05/2020 - Arrêté de péril du 19/05/2020,Arrêté de péril du 19/05/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/ppm_90-rue-edmond-rostand-13006_2020_00863_vdm.pdf,90 rue Edmond Rostand,13006
Arrêtés de mise en sécurité,6ème arrondissement,12 rue Saint-Michel / 11 rue André Poggioli : Arrêté de mise en sécurité du 08/07/2021,Arrêté de mise en sécurité du 08/07/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/11-rue-andre-poggioli-12-rue-st-michel-13006_2021_01946.pdf,12 rue Saint-Michel / 11 rue André Poggioli,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,4 rue Saint-Pierre : Arrêté de péril du 21/01/2019 - Arrêté modificatif de péril du 24/01/2020,Arrêté de péril du 21/01/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/4-RUE-SAINT-PIERRE-13006_2019_00224.pdf,4 rue Saint-Pierre,13006
